                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 02:38:24   -45512.247241*      16.1636
BFGSLineSearch:    1[  2] 03:32:57   -45513.216188*       4.1979
BFGSLineSearch:    2[  4] 04:16:00   -45513.395889*       1.9069
BFGSLineSearch:    3[  6] 05:00:47   -45513.469804*       1.3159
BFGSLineSearch:    4[  8] 05:46:53   -45513.506393*       0.7609
BFGSLineSearch:    5[ 10] 06:14:59   -45513.524256*       0.4685
BFGSLineSearch:    6[ 13] 07:16:58   -45513.574483*       0.6514
BFGSLineSearch:    7[ 16] 08:24:35   -45513.647290*       0.8837
BFGSLineSearch:    8[ 18] 09:09:04   -45513.676919*       1.3605
BFGSLineSearch:    9[ 19] 09:26:30   -45513.812942*       0.5604
BFGSLineSearch:   10[ 21] 09:55:45   -45513.848717*       0.3709
BFGSLineSearch:   11[ 23] 10:24:19   -45513.868122*       0.3314
BFGSLineSearch:   12[ 24] 10:40:07   -45513.886236*       0.2893
BFGSLineSearch:   13[ 26] 11:02:27   -45513.895271*       0.2688
BFGSLineSearch:   14[ 28] 11:25:15   -45513.900776*       0.2444
BFGSLineSearch:   15[ 29] 11:38:28   -45513.905925*       0.2126
BFGSLineSearch:   16[ 30] 11:55:09   -45513.909104*       0.2082
BFGSLineSearch:   17[ 31] 12:41:16   -45513.913157*       0.2474
                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 17:32:11   -45513.912730*       0.2648
BFGSLineSearch:    1[  2] 18:00:30   -45513.914636*       0.2412
BFGSLineSearch:    2[  4] 18:26:51   -45513.920575*       0.1843
BFGSLineSearch:    3[  5] 18:42:25   -45513.932214*       0.2437
BFGSLineSearch:    4[  8] 19:55:55   -45513.948623*       0.3188
BFGSLineSearch:    5[ 10] 20:46:44   -45513.959904*       0.3198
BFGSLineSearch:    6[ 12] 21:38:38   -45513.969520*       0.2592
BFGSLineSearch:    7[ 14] 22:27:39   -45513.978446*       0.2169
BFGSLineSearch:    8[ 16] 23:17:14   -45513.986196*       0.2090
BFGSLineSearch:    9[ 18] 23:38:37   -45513.990750*       0.1923
